"specialist_id","domain","n_rows","n_strong_win","n_strong_point_signal","n_pareto_signal","n_equal_weight_gain","n_no_win","pass_rate","median_q95_gain","best_dataset"
"TAX-Q1R023","engineering_efficiency",9,0,0,0,9,0,0,-0.10712725839515,"UCI_auto_mpg"
"TAX-Q1R023","rdatasets_agridat",9,0,0,0,9,0,0,-5026.04418704521,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R023","rdatasets_alone",36,0,0,0,36,0,0,-0.0107449600261273,"RD_alone_loadouts_auto__depth_body_10_90"
"TAX-Q1R023","rdatasets_archdata",9,0,0,0,9,0,0,-0.0698593883676516,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R023","rdatasets_asaur",18,3,0,0,15,0,0.166666666666667,-3.0128054876603,"RD_asaur_prostateSurvival_auto__depth_body_10_90"
"TAX-Q1R023","rdatasets_bakeoff",27,2,0,0,25,0,0.0740740740740741,-0.0111415815613416,"RD_bakeoff_challenges_data__auto__depth_bootstrap_full"
"TAX-Q1R023","rdatasets_betareg",9,0,0,0,9,0,0,-0.00355557971321315,"RD_betareg_LossAversion_auto"
"TAX-Q1R023","rdatasets_boot",27,8,2,0,12,5,0.37037037037037,-0.0133936068204933,"RD_boot_amis_auto__depth_upper_tail_enriched"
"TAX-Q1R023","rdatasets_causaldata",9,0,0,0,9,0,0,-0.85693007275809,"RD_causaldata_mortgages_auto"
"TAX-Q1R023","rdatasets_cluster",9,0,0,0,9,0,0,-1.05260684008448,"RD_cluster_xclara_auto"
"TAX-Q1R023","rdatasets_dragracer",27,6,1,1,19,0,0.259259259259259,-0.00709622945997283,"RD_dragracer_rpdr_contep_auto__depth_bootstrap_full"
"TAX-Q1R023","rdatasets_educationR",9,0,0,0,9,0,0,-0.000210570728042957,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R023","rdatasets_forecast",9,0,0,0,9,0,0,-31463.3520064057,"RD_forecast_taylor_auto"
"TAX-Q1R023","rdatasets_fpp2",27,8,1,0,18,0,0.333333333333333,-8.77090298698533,"RD_fpp2_calls_auto__depth_bootstrap_full"
"TAX-Q1R023","rdatasets_gt",27,18,0,0,9,0,0.666666666666667,0.272963601888298,"RD_gt_pizzaplace_auto__depth_upper_tail_enriched"
"TAX-Q1R023","rdatasets_HistData",27,5,2,1,13,6,0.259259259259259,-0.0140742240994179,"RD_HistData_Pollen_auto__depth_upper_tail_enriched"
"TAX-Q1R023","rdatasets_ISLR",27,12,0,0,15,0,0.444444444444444,-54.5702470694895,"RD_ISLR_Default_auto__depth_bootstrap_full"
"TAX-Q1R023","rdatasets_OncoDataSets",18,3,0,0,15,0,0.166666666666667,-2.93549625958659,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_body_10_90"
"TAX-Q1R023","rdatasets_psych",9,6,0,0,3,0,0.666666666666667,0.396382916272613,"RD_psych_bfi_auto__depth_upper_tail_enriched"
"TAX-Q1R024","biomedical_signal",4,0,0,0,4,0,0,-0.0492076976001366,"UCI_parkinsons_HNR"
"TAX-Q1R024","education_scores",12,0,0,0,4,8,0,-0.0944137705266005,"UCI_student_math_G3__depth_body_10_90"
"TAX-Q1R024","engineering_efficiency",4,0,0,0,4,0,0,-0.176881676217987,"UCI_auto_mpg"
"TAX-Q1R024","rdatasets_agridat",4,0,0,0,4,0,0,-3813.5719522504,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R024","rdatasets_alone",16,2,2,1,11,0,0.25,-0.00712515888493651,"RD_alone_loadouts_auto"
"TAX-Q1R024","rdatasets_archdata",4,0,0,0,4,0,0,-0.160746420272874,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R024","rdatasets_asaur",8,0,0,0,8,0,0,-5.82471955656203,"RD_asaur_prostateSurvival_auto__depth_upper_tail_enriched"
"TAX-Q1R024","rdatasets_bakeoff",12,0,0,0,12,0,0,-0.0216852010262411,"RD_bakeoff_challenges_data__auto__depth_body_10_90"
"TAX-Q1R024","rdatasets_betareg",4,0,0,0,4,0,0,-0.00989187212350229,"RD_betareg_LossAversion_auto"
"TAX-Q1R024","rdatasets_boot",12,0,0,0,12,0,0,-0.0940936959645469,"RD_boot_amis_auto__depth_bootstrap_full"
"TAX-Q1R024","rdatasets_causaldata",4,0,0,0,4,0,0,-0.970877005483462,"RD_causaldata_mortgages_auto"
"TAX-Q1R024","rdatasets_cluster",4,0,0,0,4,0,0,-0.494383309707209,"RD_cluster_xclara_auto"
"TAX-Q1R024","rdatasets_dragracer",12,1,2,1,8,0,0.25,-0.00739749315847755,"RD_dragracer_rpdr_contep_auto__depth_bootstrap_full"
"TAX-Q1R024","rdatasets_educationR",4,0,0,0,4,0,0,-8.69864677646497e-05,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R024","rdatasets_forecast",4,0,0,0,4,0,0,-46211.979635251,"RD_forecast_taylor_auto"
"TAX-Q1R024","rdatasets_fpp2",12,2,0,0,10,0,0.166666666666667,-6.81733483039894,"RD_fpp2_calls_auto__depth_bootstrap_full"
"TAX-Q1R024","rdatasets_gt",12,8,0,0,4,0,0.666666666666667,0.0831319047807336,"RD_gt_pizzaplace_auto__depth_bootstrap_full"
"TAX-Q1R024","rdatasets_HistData",12,0,0,0,8,4,0,-0.0792467505379348,"RD_HistData_Pollen_auto__depth_body_10_90"
"TAX-Q1R024","rdatasets_ISLR",12,1,0,0,10,1,0.0833333333333333,-321.630403112041,"RD_ISLR_Default_auto__depth_upper_tail_enriched"
"TAX-Q1R024","rdatasets_OncoDataSets",8,0,0,0,8,0,0,-6.07444381897592,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_upper_tail_enriched"
